,column_name,coef,corr
0,6~7_ride,-0.00900769654677724,0.2621728178168944
1,9~10_ride,0.010960248410694089,0.4940848655876124
2,11~12_ride,0.1480005588751393,0.56974728170119
3,6~7_takeoff,0.01361924936931243,0.1783526702670801
4,9~10_takeoff,0.007704965075965708,0.29587549820456704
5,11~12_takeoff,0.014970075468045095,0.3135395091766317
6,day,0.0038738655750191944,0.0048823095828250075
7,Mon,0.17442344517163375,0.010300999161494524
8,Sat,0.11544851321906129,-0.013380429513106206
9,Thr,0.031339031383929926,0.0012588970720974818
10,Tue,0.04163729103166636,0.011974631622791576
11,is_holiday,-0.059288089591986295,-0.00788717365913152
12,in_out_8~9_takeoff_mean,0.026201137753014803,0.02211611093611956
13,dis_jeju,-0.0003563750059047124,-0.12097633170023689
14,dis_seongsan,0.00011959810082523164,0.0159918997876404
15,dis_po,0.00011249330543259824,0.02698321127529538
16,gosan,0.010896483014690483,-0.04414011704237605
17,po,0.014881647374534821,-0.05301143206373514
18,7~8_ride_date_sum,1.1630619451460733e-05,0.02782783689418842
19,6~8r,0.0977796003068331,0.39440567739048343
20,8~10r,0.12714456564263996,0.5382625847210847
21,10~12r,0.11913913711505257,0.616720635097237
22,8~10t,0.1003155075212777,0.33471411534244033
23,10~12t,0.06366330567843964,0.344370084476314
24,bus_route_id_mean,-0.004067518119416521,0.39820252556167535
25,station_code_mean,0.00042459198498251893,0.43449315889349815
26,station_code_sum,8.845153985352009e-07,0.3496608682742188
27,route_station_code_mean,0.9962551221052987,0.8361152806673215
28,congestion,0.013695705804191265,0.26593897949244966
29,6~7_ride_sum,-0.0025940455825398585,0.33539302311556163
30,7~8_ride_sum,-0.0031944708998790502,0.44318324763857
31,8~9_ride_sum,-0.004292980763895014,0.5255229606272744
32,9~10_ride_sum,-0.0045418767575705656,0.584017268187297
33,10~11_ride_sum,-0.0037227233386173298,0.6235400546345008
34,11~12_ride_sum,-0.008856484470367004,0.660011442942851
35,6~7_takeoff_sum,-4.3392276242775014e-05,0.25533780736739137
36,7~8_takeoff_sum,0.0003004141115758838,0.2694043345160782
37,8~9_takeoff_sum,-0.0033527609281631637,0.3201403988803754
38,9~10_takeoff_sum,-0.003615156734278055,0.34820550813710816
39,10~11_takeoff_sum,-0.002011426129632564,0.3544134606117984
40,11~12_takeoff_sum,-0.0025697035973733825,0.3686071758980563
41,user_cat_sum_2,5.092236120896541e-05,0.18673685601244142
42,user_cat_sum_4,1.300044175522403e-06,0.22850879515971584
43,user_cat_sum_30,0.0026213036197254014,0.010125055309835172
44,user_cat_ratio_2,-0.1939683923773933,-0.034378609283393854
45,user_cat_ratio_4,-0.10481041664764022,-0.05478163185454706
46,user_cat_ratio_6,-0.03672016376861705,-0.08128324295768681
47,user_cat_ratio_27,0.14018851344127764,-0.01604605932719359
48,user_cat_ratio_28,0.11275742880515868,-0.024329701281443964
49,user_cat_ratio_29,0.16913241838613746,0.022272720800156666
50,user_cat_ratio_30,-2.9140810402144064,-0.015810403568645003
51,현재기온_10,-0.04800446870752343,0.0015213090345890517
52,일강수_10,0.0012013698378646803,-0.0029543519211768943
53,is_rain,0.19350224596308152,-0.005623233586730323
54,구름많음,0.26475382879933695,0.006523146238747815
55,구름조금,0.42479117904662267,0.015222024921554549
56,맑음,0.3206842841054356,0.007319182442885682
57,박무,-0.15518214881305703,-4.6368241912980113e-05
58,보통비계속,-0.7390244048475616,-0.02387512369237888
59,비 끝남,0.03652969283272203,-0.00031828115775958655
60,소나기 끝,0.3369840754801341,0.009124011334858245
61,약한비계속,0.12579370018222052,0.0030712480389710577
62,약한비단속,0.20714893575885096,0.005031017559421765
63,encoded_bus_route_id_frequency_encoded,-30.421445284882736,-0.13008209178174354
64,encoded_station_code_frequency_encoded,0.2997279740768758,-0.009254556204533332
65,encoded_route_station_code_frequency_encoded,0.029889585803759555,-0.004500749595488857
