,column_name,coef,corr
0,latitude,-0.2278218945114449,0.0792611594719504
1,longitude,0.21694026888976176,-0.021368416795757333
2,6~7_ride,-0.0024792179767886167,0.2621728178168944
3,8~9_ride,-0.016571706695071974,0.4453164755194147
4,9~10_ride,-0.005498673170871867,0.4940848655876124
5,10~11_ride,-0.06473664162460312,0.5126657891372356
6,11~12_ride,0.08332413668276224,0.56974728170119
7,6~7_takeoff,-0.04027409156414425,0.1783526702670801
8,8~9_takeoff,0.01266982521412256,0.2743598779125943
9,9~10_takeoff,0.021636328372351073,0.29587549820456704
10,10~11_takeoff,-0.0010137793891416298,0.29069062341346313
11,11~12_takeoff,0.014067348674513775,0.3135395091766317
12,day,0.0019506406476227773,0.0048823095828250075
13,Fri,-0.3496960861178483,-0.01455306032770485
14,Mon,0.3159972551373952,0.010300999161494524
15,Sat,0.25162433719046196,-0.013380429513106206
16,Sun,-0.11495354702216298,-0.016738747196429916
17,Thr,0.007726800278603005,0.0012588970720974818
18,Tue,0.15348698764040528,0.011974631622791576
19,is_holiday,0.5306897340638288,-0.00788717365913152
20,day_name_9~10_ride_mean,-4.964750280881476,0.028317362170213717
21,day_name_11~12_ride_mean,-4.308897749882885,0.006867796819001915
22,day_type_11~12_ride_mean,-4.3288311416806415,-0.022943915059705985
23,in_out_8~9_takeoff_mean,-5.666985212102671,0.02211611093611956
24,in_out_11~12_takeoff_sum,-8.568982475570234e-06,-0.022116110936198814
25,dis_jeju,-0.0020847927794898275,-0.12097633170023689
26,dis_seongsan,0.0029189833316748738,0.0159918997876404
27,dis_po,0.0013858570668476315,0.02698321127529538
28,gosan,-0.023579386533532844,-0.04414011704237605
29,jeju,-0.034892421621213886,0.10127249524875982
30,po,-0.003443839197650871,-0.05301143206373514
31,takeoff_sum,0.048308476416520585,0.38349567062185047
32,7~8_ride_date_sum,6.030634352000346e-05,0.02782783689418842
33,11~12_ride_date_sum,3.186816364476298e-05,0.029024974971659675
34,6~8r,-0.07403513025982374,0.39440567739048343
35,8~10r,-0.022070379349837164,0.5382625847210847
36,10~12r,0.018587495084513614,0.616720635097237
37,6~8t,0.0009487535697647745,0.252625731346984
38,8~10t,0.034306153595237456,0.33471411534244033
39,10~12t,0.013053569280778275,0.344370084476314
40,bus_route_id_mean,-0.004777674700061662,0.39820252556167535
41,station_code_mean,0.0022631924253441304,0.43449315889349815
42,station_code_sum,-1.0389863217541778e-06,0.3496608682742188
43,route_station_code_mean,0.9958834945697204,0.8361152806673215
44,congestion,0.013723231461605706,0.26593897949244966
45,6~7_ride_sum,-0.0025977941988941256,0.33539302311556163
46,7~8_ride_sum,-0.0030585478510781992,0.44318324763857
47,8~9_ride_sum,-0.004351416634737358,0.5255229606272744
48,9~10_ride_sum,-0.004518443200139171,0.584017268187297
49,10~11_ride_sum,-0.0035978398628812133,0.6235400546345008
50,11~12_ride_sum,-0.008948398659256042,0.660011442942851
51,6~7_takeoff_sum,0.00010897506030396208,0.25533780736739137
52,7~8_takeoff_sum,-0.001401122446544863,0.2694043345160782
53,8~9_takeoff_sum,-0.0031338823416420664,0.3201403988803754
54,9~10_takeoff_sum,-0.003513893341813556,0.34820550813710816
55,10~11_takeoff_sum,-0.001975955877276961,0.3544134606117984
56,11~12_takeoff_sum,-0.0024463453256949727,0.3686071758980563
57,user_cat_sum_2,5.149546818731335e-05,0.18673685601244142
58,user_cat_sum_4,6.91276268768582e-07,0.22850879515971584
59,user_cat_sum_30,0.003310607235187845,0.010125055309835172
60,user_cat_ratio_1,0.20625527094890045,0.11337037269094173
61,user_cat_ratio_2,0.03892791194413417,-0.034378609283393854
62,user_cat_ratio_4,0.08346149722247925,-0.05478163185454706
63,user_cat_ratio_6,0.1654576946074267,-0.08128324295768681
64,user_cat_ratio_27,0.2546581503465858,-0.01604605932719359
65,user_cat_ratio_28,0.30051476260343074,-0.024329701281443964
66,user_cat_ratio_29,0.1979401891784427,0.022272720800156666
67,user_cat_ratio_30,-4.153192287558364,-0.015810403568645003
68,geton_vhc_passby_count,0.16847941169457586,0.6217771380156669
69,현재기온_10,-0.06510229428236927,0.0015213090345890517
70,일강수_10,0.00297322376069931,-0.0029543519211768943
71,is_rain,0.18031179926004556,-0.005623233586730323
72,구름많음,0.26951713077521894,0.006523146238747815
73,구름조금,0.3685201268703144,0.015222024921554549
74,맑음,0.10919126504437059,0.007319182442885682
75,박무,-0.1049178519023501,-4.6368241912980113e-05
76,보통비계속,-0.661737488465439,-0.02387512369237888
77,비 끝남,0.08985476212333501,-0.00031828115775958655
78,소나기 끝,0.4430089622676828,0.009124011334858245
79,약한비계속,0.23379154774181485,0.0030712480389710577
80,약한비단속,0.19614010689455044,0.005031017559421765
81,encoded_bus_route_id_frequency_encoded,-74.40665157759088,-0.13008209178174354
82,encoded_station_code_frequency_encoded,0.33222138244317223,-0.009254556204533332
83,encoded_route_station_code_frequency_encoded,-0.035348851512420454,-0.004500749595488857
