,n_feats,model,feats,score
0,66,"LGBMRegressor(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
              importance_type='split', learning_rate=0.001, max_depth=-1,
              min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
              n_estimators=1000, n_jobs=-1, num_leaves=31, objective=None,
              random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
              subsample=1.0, subsample_for_bin=200000, subsample_freq=0)","['6~7_ride', '9~10_ride', '11~12_ride', '6~7_takeoff', '9~10_takeoff', '11~12_takeoff', 'day', 'Mon', 'Sat', 'Thr', 'Tue', 'is_holiday', 'in_out_8~9_takeoff_mean', 'dis_jeju', 'dis_seongsan', 'dis_po', 'gosan', 'po', '7~8_ride_date_sum', '6~8r', '8~10r', '10~12r', '8~10t', '10~12t', 'bus_route_id_mean', 'station_code_mean', 'station_code_sum', 'route_station_code_mean', 'congestion', '6~7_ride_sum', '7~8_ride_sum', '8~9_ride_sum', '9~10_ride_sum', '10~11_ride_sum', '11~12_ride_sum', '6~7_takeoff_sum', '7~8_takeoff_sum', '8~9_takeoff_sum', '9~10_takeoff_sum', '10~11_takeoff_sum', '11~12_takeoff_sum', 'user_cat_sum_2', 'user_cat_sum_4', 'user_cat_sum_30', 'user_cat_ratio_2', 'user_cat_ratio_4', 'user_cat_ratio_6', 'user_cat_ratio_27', 'user_cat_ratio_28', 'user_cat_ratio_29', 'user_cat_ratio_30', '현재기온_10', '일강수_10', 'is_rain', '구름많음', '구름조금', '맑음', '박무', '보통비계속', '비 끝남', '소나기 끝', '약한비계속', '약한비단속', 'encoded_bus_route_id_frequency_encoded', 'encoded_station_code_frequency_encoded', 'encoded_route_station_code_frequency_encoded']",2.625216405755802
1,59,"LGBMRegressor(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
              importance_type='split', learning_rate=0.001, max_depth=-1,
              min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
              n_estimators=1000, n_jobs=-1, num_leaves=31, objective=None,
              random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
              subsample=1.0, subsample_for_bin=200000, subsample_freq=0)","['route_station_code_mean', '7~8_ride_date_sum', 'Mon', '10~12r', 'dis_seongsan', 'station_code_mean', 'station_code_sum', '현재기온_10', 'dis_po', '8~10r', 'dis_jeju', '6~7_takeoff_sum', '11~12_ride', '7~8_ride_sum', 'bus_route_id_mean', '일강수_10', '8~9_takeoff_sum', '9~10_takeoff', 'user_cat_sum_30', 'congestion', 'encoded_station_code_frequency_encoded', '6~7_ride_sum', 'user_cat_sum_2', '10~11_ride_sum', 'user_cat_ratio_30', 'day', '9~10_ride', '8~10t', '6~7_ride', '6~8r', '구름조금', '11~12_takeoff', '6~7_takeoff', '10~12t', '7~8_takeoff_sum', '11~12_ride_sum', '9~10_ride_sum', 'user_cat_ratio_4', '8~9_ride_sum', 'encoded_route_station_code_frequency_encoded', 'user_cat_ratio_2', '11~12_takeoff_sum', 'is_holiday', 'encoded_bus_route_id_frequency_encoded', '약한비단속', '약한비계속', '소나기 끝', '비 끝남', '보통비계속', '박무', 'Sat', 'Thr', 'Tue', 'in_out_8~9_takeoff_mean', 'user_cat_sum_4', '맑음', '9~10_takeoff_sum', 'is_rain', 'gosan']",2.625216405755802
2,53,"LGBMRegressor(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
              importance_type='split', learning_rate=0.001, max_depth=-1,
              min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
              n_estimators=1000, n_jobs=-1, num_leaves=31, objective=None,
              random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
              subsample=1.0, subsample_for_bin=200000, subsample_freq=0)","['route_station_code_mean', '7~8_ride_date_sum', 'Mon', '10~12r', 'dis_seongsan', 'station_code_mean', 'station_code_sum', '현재기온_10', 'dis_po', '8~10r', '6~7_takeoff_sum', '11~12_ride', '7~8_ride_sum', 'bus_route_id_mean', '8~9_takeoff_sum', '일강수_10', '9~10_takeoff', 'user_cat_sum_30', 'congestion', 'dis_jeju', 'encoded_station_code_frequency_encoded', '6~7_ride_sum', 'user_cat_sum_2', '10~11_ride_sum', 'user_cat_ratio_30', 'day', '9~10_ride', '8~10t', '6~7_ride', '6~8r', '구름조금', '11~12_takeoff', '6~7_takeoff', '10~12t', '11~12_ride_sum', '9~10_ride_sum', 'user_cat_ratio_4', 'encoded_route_station_code_frequency_encoded', 'user_cat_ratio_2', 'is_rain', 'Sat', 'Thr', 'Tue', '맑음', 'in_out_8~9_takeoff_mean', 'user_cat_sum_4', '보통비계속', '9~10_takeoff_sum', '박무', 'encoded_bus_route_id_frequency_encoded', '비 끝남', '소나기 끝', '약한비계속']",2.625216405755802
3,47,"LGBMRegressor(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
              importance_type='split', learning_rate=0.001, max_depth=-1,
              min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
              n_estimators=1000, n_jobs=-1, num_leaves=31, objective=None,
              random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
              subsample=1.0, subsample_for_bin=200000, subsample_freq=0)","['route_station_code_mean', '7~8_ride_date_sum', 'Mon', '10~12r', 'dis_seongsan', 'station_code_mean', 'station_code_sum', '현재기온_10', 'dis_po', '8~10r', '6~7_takeoff_sum', '11~12_ride', '7~8_ride_sum', 'bus_route_id_mean', '8~9_takeoff_sum', '일강수_10', '9~10_takeoff', 'user_cat_sum_30', 'congestion', 'dis_jeju', 'encoded_station_code_frequency_encoded', '6~7_ride_sum', 'user_cat_sum_2', '10~11_ride_sum', 'user_cat_ratio_30', 'day', '9~10_ride', '8~10t', '6~7_ride', '6~8r', '구름조금', '11~12_takeoff', '6~7_takeoff', '10~12t', '11~12_ride_sum', '9~10_ride_sum', 'user_cat_ratio_4', 'encoded_route_station_code_frequency_encoded', 'user_cat_ratio_2', 'encoded_bus_route_id_frequency_encoded', '9~10_takeoff_sum', '박무', '소나기 끝', '비 끝남', 'user_cat_sum_4', '보통비계속', 'is_rain']",2.625216405755802
4,42,"LGBMRegressor(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
              importance_type='split', learning_rate=0.001, max_depth=-1,
              min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
              n_estimators=1000, n_jobs=-1, num_leaves=31, objective=None,
              random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
              subsample=1.0, subsample_for_bin=200000, subsample_freq=0)","['route_station_code_mean', '7~8_ride_date_sum', 'Mon', '10~12r', 'dis_seongsan', 'station_code_mean', 'station_code_sum', '현재기온_10', 'dis_po', '8~10r', '6~7_takeoff_sum', '11~12_ride', '7~8_ride_sum', 'bus_route_id_mean', '8~9_takeoff_sum', '일강수_10', '9~10_takeoff', 'user_cat_sum_30', 'congestion', 'dis_jeju', 'encoded_station_code_frequency_encoded', '6~7_ride_sum', 'user_cat_sum_2', '10~11_ride_sum', 'user_cat_ratio_30', 'day', '9~10_ride', '8~10t', '6~7_ride', '6~8r', '구름조금', '11~12_takeoff', '6~7_takeoff', '10~12t', '11~12_ride_sum', '9~10_ride_sum', 'user_cat_ratio_4', 'encoded_route_station_code_frequency_encoded', 'user_cat_ratio_2', '소나기 끝', 'user_cat_sum_4', '비 끝남']",2.625216405755802
5,37,"LGBMRegressor(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
              importance_type='split', learning_rate=0.001, max_depth=-1,
              min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
              n_estimators=1000, n_jobs=-1, num_leaves=31, objective=None,
              random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
              subsample=1.0, subsample_for_bin=200000, subsample_freq=0)","['route_station_code_mean', '7~8_ride_date_sum', 'Mon', '10~12r', 'dis_seongsan', 'station_code_mean', 'station_code_sum', '현재기온_10', 'dis_po', '8~10r', '6~7_takeoff_sum', '11~12_ride', '7~8_ride_sum', 'bus_route_id_mean', '8~9_takeoff_sum', '일강수_10', '9~10_takeoff', 'user_cat_sum_30', 'congestion', 'dis_jeju', 'encoded_station_code_frequency_encoded', '6~7_ride_sum', 'user_cat_sum_2', '10~11_ride_sum', 'user_cat_ratio_30', 'day', '9~10_ride', '8~10t', '6~7_ride', '6~8r', '구름조금', '11~12_takeoff', '6~7_takeoff', '10~12t', '11~12_ride_sum', '9~10_ride_sum', 'user_cat_ratio_4']",2.625143163002717
6,33,"LGBMRegressor(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
              importance_type='split', learning_rate=0.001, max_depth=-1,
              min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
              n_estimators=1000, n_jobs=-1, num_leaves=31, objective=None,
              random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
              subsample=1.0, subsample_for_bin=200000, subsample_freq=0)","['route_station_code_mean', '7~8_ride_date_sum', 'Mon', '10~12r', 'dis_seongsan', 'station_code_mean', 'station_code_sum', '현재기온_10', 'dis_po', '8~10r', '6~7_takeoff_sum', '11~12_ride', '7~8_ride_sum', 'bus_route_id_mean', '8~9_takeoff_sum', '일강수_10', '9~10_takeoff', 'user_cat_sum_30', 'congestion', 'dis_jeju', 'encoded_station_code_frequency_encoded', '6~7_ride_sum', 'user_cat_sum_2', '10~11_ride_sum', 'user_cat_ratio_30', 'day', '9~10_ride', '8~10t', '6~7_ride', '6~8r', '구름조금', '11~12_takeoff', '6~7_takeoff']",2.6255243800715258
